customerId,recommendedProducts
5273,132|37|0|34|248|3|230|110|27|32
5347,132|37|0|34|248|3|230|110|27|32
5361,132|37|0|34|248|3|230|110|27|32
5365,132|37|0|34|248|3|230|110|27|32
5368,132|37|0|34|248|3|230|110|27|32
5418,132|37|0|34|248|3|230|110|27|32
5430,132|37|0|34|248|3|230|110|27|32
5459,132|37|34|248|3|230|110|27|32|245
5461,132|37|0|34|248|3|230|110|27|32
5501,132|37|0|248|34|3|230|110|27|32
5512,132|37|0|34|248|3|230|110|27|32
5513,132|37|0|34|248|3|230|110|27|32
5522,132|37|0|34|248|3|230|110|27|32
5524,132|37|0|34|248|3|230|110|27|32
5527,132|37|0|34|248|3|230|110|27|32
5555,132|37|0|34|248|3|230|110|27|32
5562,132|37|0|34|248|3|230|110|27|32
5570,132|37|0|34|248|3|110|27|32|245
5581,132|37|0|34|248|3|230|110|245|32
5648,132|37|0|34|248|3|230|110|27|32
5666,132|37|0|34|248|3|230|110|27|32
5684,132|37|0|34|248|3|230|110|27|32
5751,132|37|0|34|248|3|230|110|27|32
5774,132|37|0|34|248|3|230|110|27|32
5891,132|37|0|34|248|3|230|110|27|32
5926,132|37|0|34|248|3|230|110|27|32
5940,132|37|0|34|248|3|230|110|27|32
5957,132|37|0|34|248|3|230|110|27|32
6010,132|37|0|34|248|3|230|110|27|32
6016,132|37|0|34|248|3|230|110|27|32
6030,132|37|0|34|248|3|230|110|27|32
6032,132|37|0|34|248|3|230|110|27|32
6132,132|37|0|34|248|3|230|110|27|32
6145,132|37|0|34|248|3|230|110|27|32
6158,132|37|0|34|248|3|230|110|27|32
6166,132|37|0|34|248|230|110|27|32|245
6167,132|37|0|34|248|3|230|110|27|32
6182,132|37|0|34|248|3|230|110|27|32
6220,132|37|34|248|3|230|110|27|32|245
6258,132|37|0|34|248|3|230|110|27|32
6269,132|37|0|34|248|3|230|110|27|32
6294,132|37|0|34|248|3|230|110|27|32
6297,132|37|0|34|248|3|230|110|27|32
6313,132|37|34|0|248|3|230|110|27|32
6323,132|37|0|34|248|3|230|110|27|32
6326,132|37|0|34|248|3|230|110|27|32
6334,132|37|0|34|248|3|230|110|27|32
6337,132|37|0|34|248|3|230|110|27|32
6344,132|37|0|34|248|3|230|110|27|32
6345,132|37|0|34|248|230|110|27|32|245
6346,132|37|0|34|248|3|230|110|27|32
6385,132|37|0|34|248|3|230|110|27|32
6394,132|37|0|34|248|3|230|110|27|32
